Date,Price,Open,High,Low,Vol.,Change %
6/9/2025,132.06,127.07,132.23,124.8,74.79M,3.40%
6/6/2025,127.72,123.73,128.13,121.92,87.18M,6.51%
6/5/2025,119.91,129.27,132.85,118.93,132.24M,-7.77%
6/4/2025,130.01,132.8,132.95,125.58,97.31M,-2.37%
6/3/2025,133.17,133.07,135.28,130.1,91.30M,0.86%
6/2/2025,132.04,131.43,134.48,128.86,93.22M,0.20%
5/30/2025,131.78,123.53,131.94,122.75,185.90M,7.73%
5/29/2025,122.32,125.35,126.47,121.53,63.14M,-1.16%
5/28/2025,123.76,124.23,125.65,122.91,64.87M,0.30%
5/27/2025,123.39,126.82,127.88,120.88,86.46M,0.06%
5/23/2025,123.31,120.88,125.54,120.68,65.91M,0.83%
5/22/2025,122.29,121.95,126.33,121.38,75.50M,1.42%
5/21/2025,120.58,125.16,127.11,119.41,80.66M,-3.99%
5/20/2025,125.59,127.22,128.2,124.65,61.27M,-0.59%
5/19/2025,126.33,124.71,127.77,124.32,72.50M,-2.46%
5/16/2025,129.52,129.23,130.33,126.76,57.00M,1.09%
5/15/2025,128.12,128.37,130.2,125.74,69.50M,-1.58%
5/14/2025,130.18,129.01,133.49,127.56,96.61M,1.62%
5/13/2025,128.1,119.92,130.6,119.31,147.16M,8.14%
5/12/2025,118.46,120.78,120.93,115.01,94.26M,0.99%
5/9/2025,117.3,118.97,119.16,114.9,81.01M,-1.55%
5/8/2025,119.15,112.28,120.38,112.07,126.97M,7.85%
5/7/2025,110.48,107.97,111.85,107,95.71M,1.49%
5/6/2025,108.86,112.71,113.91,105.32,201.19M,-12.05%
5/5/2025,123.77,123.7,125.25,121.36,135.96M,-0.41%
5/2/2025,124.28,118.66,124.42,118.63,103.09M,6.95%
5/1/2025,116.2,120.04,120.19,116,90.68M,-1.89%
4/30/2025,118.44,111.61,118.78,110.54,109.46M,2.03%
4/29/2025,116.08,113.98,117.23,113.24,79.71M,1.25%
4/28/2025,114.65,113.78,114.86,108.87,111.08M,1.66%
4/25/2025,112.78,108.05,112.88,106.55,103.93M,4.64%
4/24/2025,107.78,101.53,108,100.91,103.19M,6.90%
4/23/2025,100.82,98.86,103.76,97.83,112.91M,7.27%
4/22/2025,93.99,93.01,96.34,91.35,91.19M,3.51%
4/21/2025,90.8,92.84,96.47,89.31,83.83M,-3.18%
4/17/2025,93.78,94.71,95.11,92.27,83.99M,1.15%
4/16/2025,92.71,96.28,97.3,89.62,122.00M,-5.78%
4/15/2025,98.4,93.53,98.99,93.05,118.46M,6.24%
4/14/2025,92.62,95.8,97.33,91.46,122.84M,4.60%
4/11/2025,88.55,87.98,89.55,85.47,95.13M,-0.05%
4/10/2025,88.59,88.4,90.78,84.14,124.45M,-3.72%
4/9/2025,92.01,78.19,93.33,77.27,187.24M,19.00%
4/8/2025,77.32,83.29,86.11,75.22,135.35M,-0.67%
4/7/2025,77.84,66.65,81.8,66.12,169.08M,5.17%
4/4/2025,74.01,80.07,80.98,71.93,147.32M,-11.47%
4/3/2025,83.6,81.25,85.68,81.01,93.88M,-4.40%
4/2/2025,87.45,82.4,88.4,82.3,96.56M,3.27%
4/1/2025,84.68,83.89,85.28,81.82,78.98M,0.33%
3/31/2025,84.4,80,84.65,78.75,108.09M,-1.69%
3/28/2025,85.85,89.34,89.38,84.1,91.09M,-4.71%
3/27/2025,90.09,91.01,93.65,89.67,82.82M,-2.37%
3/26/2025,92.28,96.29,97.3,90.82,82.14M,-4.37%
3/25/2025,96.5,97.22,98.17,95.08,78.02M,-0.26%
3/24/2025,96.75,93.4,97.39,92.28,112.16M,6.37%
3/21/2025,90.96,85.85,91.07,84.46,116.75M,4.09%
3/20/2025,87.39,85.54,89.8,85.12,105.55M,1.50%
3/19/2025,86.1,84.55,87.99,82.86,89.80M,2.63%
3/18/2025,83.89,85.78,86.17,81.8,93.24M,-3.96%
3/17/2025,87.35,88.44,88.82,84.5,99.35M,1.29%
3/14/2025,86.24,82.97,87.27,82.16,113.99M,8.31%
3/13/2025,79.62,82.85,83.74,78.32,100.93M,-4.82%
3/12/2025,83.65,83.48,84.55,79.86,116.53M,7.17%
3/11/2025,78.05,75.79,80.75,75.53,109.35M,2.19%
3/10/2025,76.38,82,82.69,74.57,136.84M,-10.05%
3/7/2025,84.91,80.03,85.16,79.15,105.38M,5.53%
3/6/2025,80.46,87.5,88.34,80.01,117.34M,-10.73%
3/5/2025,90.13,86.35,90.3,82.5,116.05M,6.79%
3/4/2025,84.4,80.16,88.5,79.3,116.80M,1.17%
3/3/2025,83.42,88.55,90.48,82.53,114.57M,-1.77%
2/28/2025,84.92,79.98,85.18,78.58,125.98M,0.18%
2/27/2025,84.77,91.91,93.62,84.17,99.68M,-5.08%
2/26/2025,89.31,89.16,91.69,87.59,94.85M,1.67%
2/25/2025,87.84,90.65,91.7,85.25,132.63M,-3.13%
2/24/2025,90.68,95.88,99.01,89.3,184.48M,-10.53%
2/21/2025,101.35,107.68,109.07,100,129.06M,-4.63%
2/20/2025,106.27,102.91,107.4,95.8,243.09M,-5.17%
2/19/2025,112.06,123.86,125.41,108.56,147.49M,-10.08%
2/18/2025,124.62,120.94,125,118.43,84.23M,4.58%
2/14/2025,119.16,117.9,120.67,116.8,65.53M,1.06%
2/13/2025,117.91,117.31,118.39,115.15,60.03M,0.44%
2/12/2025,117.39,110.29,117.59,110,75.32M,4.24%
2/11/2025,112.62,116.5,118.66,112.1,94.31M,-3.45%
2/10/2025,116.65,112.03,116.76,108.72,99.94M,5.23%
2/7/2025,110.85,111.66,116.3,110.45,143.80M,-0.39%
2/6/2025,111.28,101.09,111.54,100.26,128.22M,9.79%
2/5/2025,101.36,101.78,103.57,99.32,90.79M,-2.38%
2/4/2025,103.83,102.8,106.91,100.51,230.81M,23.99%
2/3/2025,83.74,80.13,84.25,78.47,126.59M,1.52%
1/31/2025,82.49,81,85.22,80.87,79.00M,1.56%
1/30/2025,81.22,80.02,81.83,79.38,46.07M,1.83%
1/29/2025,79.76,79.95,80.82,77.81,49.26M,-0.59%
1/28/2025,80.23,75.54,80.74,74.04,65.92M,6.35%
1/27/2025,75.44,74.07,76.72,72.67,76.09M,-4.48%
1/24/2025,78.98,79.05,82.24,78.44,77.93M,0.00%
1/23/2025,78.98,76.04,79,75.84,55.94M,2.74%
1/22/2025,76.87,74.5,77.16,73.8,66.88M,5.20%
1/21/2025,73.07,73.24,73.64,70.6,56.23M,1.81%
1/17/2025,71.77,70.9,72.34,69.95,54.75M,3.65%
1/16/2025,69.24,69.08,71.43,68.36,62.91M,1.61%
1/15/2025,68.14,68.55,68.85,67.08,56.03M,3.38%
1/14/2025,65.91,67.18,68.23,65.19,56.81M,1.43%
1/13/2025,64.98,64.29,65.68,63.4,69.05M,-3.39%
1/10/2025,67.26,66.01,68.2,65.04,78.15M,-1.42%
1/8/2025,68.23,68.12,69.53,66.51,91.35M,-2.51%
1/7/2025,69.99,75.2,75.39,69.75,91.73M,-7.81%
1/6/2025,75.92,78.69,80.06,74.61,105.62M,-4.97%
1/3/2025,79.89,75.39,79.98,75.19,62.42M,6.25%
1/2/2025,75.19,76.2,76.53,72.42,72.22M,-0.58%
