"Date","Price","Open","High","Low","Vol.","Change %"
"06/17/2025","316.35","326.09","327.26","314.74","88.28M","-3.88%"
"06/16/2025","329.13","331.29","332.05","326.41","83.93M","1.17%"
"06/13/2025","325.31","313.97","332.99","313.30","128.96M","1.94%"
"06/12/2025","319.11","323.08","332.56","316.86","105.13M","-2.24%"
"06/11/2025","326.43","334.39","335.50","322.50","122.61M","0.10%"
"06/10/2025","326.09","314.94","327.83","310.67","151.26M","5.67%"
"06/09/2025","308.58","285.95","309.83","281.85","140.91M","4.55%"
"06/06/2025","295.14","298.83","305.50","291.14","164.75M","3.67%"
"06/05/2025","284.70","322.49","324.55","273.21","292.82M","-14.26%"
"06/04/2025","332.05","345.10","345.60","327.33","98.91M","-3.55%"
"06/03/2025","344.27","346.60","355.40","343.04","99.32M","0.46%"
"06/02/2025","342.69","343.50","348.02","333.33","81.87M","-1.09%"
"05/30/2025","346.46","355.52","363.68","345.29","123.47M","-3.34%"
"05/29/2025","358.43","365.29","367.71","356.00","88.55M","0.43%"
"05/28/2025","356.90","364.84","365.00","355.91","91.40M","-1.65%"
"05/27/2025","362.89","347.35","363.79","347.32","120.15M","6.94%"
"05/23/2025","339.34","337.92","343.18","333.21","84.65M","-0.50%"
"05/22/2025","341.04","331.90","347.27","331.39","97.11M","1.92%"
"05/21/2025","334.62","344.43","347.35","332.20","102.35M","-2.68%"
"05/20/2025","343.82","347.87","354.99","341.63","131.72M","0.51%"
"05/19/2025","342.09","336.30","343.00","333.37","88.87M","-2.25%"
"05/16/2025","349.98","346.24","351.62","342.33","95.90M","2.09%"
"05/15/2025","342.82","340.34","346.14","334.72","97.88M","-1.40%"
"05/14/2025","347.68","342.50","350.00","337.00","137.00M","4.07%"
"05/13/2025","334.07","320.00","337.59","316.80","136.99M","4.93%"
"05/12/2025","318.38","321.99","322.21","311.50","112.83M","6.75%"
"05/09/2025","298.26","290.21","307.04","290.00","132.39M","4.72%"
"05/08/2025","284.82","279.63","289.80","279.41","97.54M","3.11%"
"05/07/2025","276.22","276.88","277.92","271.00","71.88M","0.32%"
"05/06/2025","275.35","273.11","277.73","271.35","76.72M","-1.75%"
"05/05/2025","280.26","284.57","284.85","274.40","94.62M","-2.42%"
"05/02/2025","287.21","284.90","294.78","279.81","114.45M","2.38%"
"05/01/2025","280.52","280.01","290.87","279.81","99.66M","-0.58%"
"04/30/2025","282.16","279.90","284.45","270.78","128.96M","-3.38%"
"04/29/2025","292.03","285.50","293.32","279.47","108.91M","2.15%"
"04/28/2025","285.88","288.98","294.86","272.42","151.73M","0.33%"
"04/25/2025","284.95","261.69","286.85","259.63","167.56M","9.80%"
"04/24/2025","259.51","250.50","259.54","249.20","94.46M","3.50%"
"04/23/2025","250.74","254.86","259.45","244.43","150.38M","5.37%"
"04/22/2025","237.97","230.96","242.79","229.85","120.86M","4.60%"
"04/21/2025","227.50","230.26","232.21","222.79","97.77M","-5.75%"
"04/17/2025","241.37","243.47","244.34","237.68","83.40M","-0.07%"
"04/16/2025","241.55","247.61","251.97","233.89","112.38M","-4.94%"
"04/15/2025","254.11","249.91","258.75","247.54","79.59M","0.70%"
"04/14/2025","252.35","258.36","261.80","245.93","100.14M","0.02%"
"04/11/2025","252.31","251.84","257.74","241.36","128.95M","-0.04%"
"04/10/2025","252.40","260.00","262.49","239.33","181.72M","-7.27%"
"04/09/2025","272.20","224.69","274.69","223.88","219.43M","22.69%"
"04/08/2025","221.86","245.00","250.44","217.80","171.60M","-4.90%"
"04/07/2025","233.29","223.78","252.00","214.25","183.45M","-2.56%"
"04/04/2025","239.43","255.38","261.00","236.00","181.23M","-10.42%"
